RT (mins),RI of Sample A,RI of Sample B
27.95,19.38971679,50.22649565
27.96666667,18.52501605,49.41832855
27.98333333,17.68991735,48.61779084
28,16.87023004,47.74401093
28.01666667,16.110052,46.77257478
28.03333333,15.36940521,45.98119234
28.05,14.70077992,45.09978304
28.06666667,14.05855233,44.39079807
28.08333333,13.46438993,43.57042394
28.1,12.88914842,42.64934178
28.11666667,12.37173774,42.14024696
28.13333333,11.87904629,41.44804666
28.15,11.40725938,40.85655437
28.16666667,10.96461677,40.21013044
28.18333333,10.57293851,39.49046432
28.2,10.20613208,38.95695543
28.21666667,9.86953805,38.38377369
28.23333333,9.538132012,37.70683218
28.25,9.240905664,37.07179741
28.26666667,8.986556515,36.07654536
28.28333333,8.770964693,35.00145687
28.3,8.569868721,34.00827513
28.31666667,8.401884324,33.00430238
28.33333333,8.242750024,32.85460699
28.35,8.116727299,32.47733593
28.36666667,7.988720932,32.28714981
28.38333333,7.849880823,31.4809969
28.4,7.698223331,30.46334497
28.41666667,7.493923013,30.06288543
28.43333333,7.291148575,29.6804093
28.45,7.0648756,28.10109477
28.46666667,6.791147788,27.6358403
28.48333333,6.474847952,26.02810779
28.5,6.155801534,25.38408132
28.51666667,5.808526354,24.01204459
28.53333333,5.458199416,23.6830059
28.55,5.107719891,22.25582023
28.56666667,4.733894417,21.01670096
28.58333333,4.368003513,20.66281361
28.6,4.014319642,20.08527394
28.61666667,3.684897247,19.30310291
28.63333333,3.373632811,19.04872484
28.65,3.037801724,18.05745226
28.66666667,2.716466488,17.20127489
28.68333333,2.414357326,17.58547839
28.7,2.142765745,17.03834644
28.71666667,1.891163179,16.16914418
28.73333333,1.666873846,15.786209
28.75,1.471423627,14.03226553
28.76666667,1.294894307,13.594179
28.78333333,1.130419431,12.08590205
28.8,0.968996313,11.61740779
28.81666667,0.808641311,10.09833983
28.83333333,0.67941424,9.705919829
28.85,0.562394201,9.009903626
28.86666667,,8.413560277
28.88333333,,8.107624656
28.9,,7.980105063
28.91666667,,7.250105063
28.93333333,,6.750105063
28.95,,6.100105063
28.96666667,,5.850010506
28.98333333,,5.170105063
29,,4.870005063
29.01666667,,4.070100063
29.03333333,,3.670105063
29.05,,3.040105063
29.06666667,,2.820105063
29.08333333,,2.310105063
29.1,,1.600105063
29.11666667,,0.180105063
29.13333333,,0.010105063
29.15,,0.001050629
29.16666667,,0.000150629
29.18333333,,0.000150629
29.2,,0.000150629
29.21666667,,0.000150629
29.23333333,,0.000150629
29.25,,0.000150629
29.26666667,,0.000150629
29.28333333,,0.000150629
29.3,,0.000150629
